IR1,IR2,US
150,420,111
165,480,105
540,615,99
465,435,157
2070,1080,83
240,510,60
315,300,62
180,360,45
240,480,34
570,300,23
435,450,183
210,195,69
375,360,59
840,345,50
420,675,40
1215,990,31
570,510,119
300,285,107
450,315,94
735,360,82
255,555,71
960,510,49
285,465,48
510,330,33
675,375,113
150,390,99
450,270,87
690,570,74
1155,360,63
270,870,55
1425,660,128
315,300,114
480,120,107
735,150,48
495,270,86
510,450,71
420,360,61
645,585,48
375,690,33
1770,630,24
1740,780,74
210,630,112
1170,630,92
435,690,90
1620,540,81
435,630,69
1275,1140,63
630,450,58
840,510,104
270,315,62
1950,690,79
1650,840,89
210,750,54
180,255,74
225,210,66
525,420,99
150,450,92
360,750,88
1395,540,73
210,840,58
1260,870,47
75,210,38
765,240,34
600,120,110
690,240,117
285,135,109
255,150,138
1125,195,115
585,255,104
555,360,86
1575,375,48
720,315,33
1215,315,21
270,330,83
600,135,68
630,135,40
810,360,221
795,255,103
1215,135,68
630,150,120
1335,225,73
390,300,206
570,135,101
315,135,91
555,240,78
315,270,65
1215,375,55
630,210,45
570,210,134
750,225,119
960,225,105
1185,165,90
615,300,76
420,300,65
570,240,114
600,240,106
1020,150,92
480,210,76
240,150,61
285,210,50
705,225,38
705,300,202
975,240,105
495,330,89
1005,240,79
1335,225,67
510,270,56
2085,330,113
300,210,95
555,135,83
570,240,69
810,180,54
960,225,39
1185,135,25
225,2595,91
120,780,400
120,885,48
75,900,273
105,915,28
75,1110,400
195,420,331
540,1860,11
90,780,99
180,525,116
135,1335,96
105,1770,196
255,2280,27
180,2415,108
540,2025,157
195,1260,140
0,855,202
0,1005,137
0,585,19
0,750,79
0,780,138
0,825,153
0,510,130
0,1395,130
0,1800,95
165,2505,230
240,1740,143
225,1920,72
270,1650,132
210,1530,30
225,2085,16
225,1395,76
285,1995,22
195,690,38
300,1545,143
255,1110,400
90,570,138
285,570,48
210,600,140
135,2055,139
165,1110,359
210,1365,102
210,1095,96
330,1905,119
165,1830,153
195,2370,218
270,1095,28
165,1620,119
390,2190,25
390,1860,59
315,1905,71
225,1845,122
180,1560,26
135,1500,100
240,1515,127
255,1545,113
315,2250,64
240,690,130
150,1845,20
195,765,38
165,1275,65
225,750,15
285,1350,22
150,1515,74
210,570,63
150,1680,48
210,1125,96
165,1275,78
75,1410,55
360,1515,45
300,1545,51
270,1395,22
270,945,12
2400,405,8
4980,480,18
4320,540,18
7035,390,11
150,1065,73
180,930,120
195,240,65
225,615,45
255,1305,26
210,1140,21
120,885,364
135,810,123
240,960,40
210,2070,62
135,570,67
120,600,54
165,360,55
195,255,88
225,810,45
180,1260,90
120,1260,390
60,750,400
300,855,41
345,240,42
225,1005,63
225,1740,128
135,1410,95
165,1800,140
330,1275,99
270,1635,60
255,1260,58
105,1020,48
195,0,44
165,2790,41
75,0,47
150,930,106
180,885,135
210,1125,78
240,2115,45
420,1845,82
345,2655,102
495,930,65
105,2160,150
270,780,104
210,2070,170
180,630,160
150,1650,147
180,435,102
225,2205,92
300,0,111
135,0,24
300,0,43
330,0,106
270,0,106
300,0,113
390,1140,106
210,630,106
180,450,66
330,1170,65
360,1440,47
225,1440,23
165,435,94
45,435,147
165,285,131
150,660,91
135,660,82
105,495,13
195,1050,98
180,870,43
120,165,23
120,2325,98
105,480,122
135,645,96
180,540,71
180,945,113
120,720,92
75,735,93
150,1080,51
150,780,80
75,915,42
180,765,97
135,825,36
165,1230,73
165,540,75
195,675,46
195,3285,15
60,720,11
210,540,70
165,780,91
135,690,79
165,885,66
210,1185,53
210,885,43
225,1185,21
210,945,25
165,1245,17
210,1365,48
120,330,30
180,1425,42
120,1440,32
180,690,15
150,1050,54
120,1065,44
120,525,42
120,1140,69
240,630,41
135,540,26
285,480,61
105,1065,55
150,750,113
135,510,57
120,540,138
270,1680,50
120,840,164
105,450,128
210,1620,121
180,630,110
255,600,92
75,1035,36
105,1065,23
225,1155,106
180,765,140
225,1065,59
135,975,35
270,1590,46
270,1170,32
405,690,27
315,1815,183
285,1320,90
330,1500,164
270,1170,29
360,1230,58
390,1440,48
225,1890,43
315,1560,48
300,1440,64
255,1140,101
285,1290,31
225,1335,21
345,810,72
255,2175,69
195,630,112
120,1485,154
225,840,88
330,1035,133
315,1875,99
360,2205,112
270,630,88
270,2220,95
255,480,109
270,585,25
225,135,112
195,1380,109
195,1065,180
165,465,86
165,945,400
285,720,152
255,1155,80
120,810,95
210,840,72
240,1665,111
345,1260,44
240,1050,85
240,1380,130
150,1080,113
270,1050,103
120,330,51
90,240,24
150,1590,77
225,825,63
135,345,58
135,855,46
90,840,127
150,375,87
105,780,103
195,600,14
195,1155,82
210,705,108
150,720,31
210,855,128
195,930,115
315,630,106
225,1005,127
240,1770,118
195,405,19
180,1185,81
195,1050,91
120,1080,68
195,930,57
165,1050,47
225,990,71
255,555,103
165,1095,72
120,945,126
135,1410,105
480,615,24
195,795,82
360,1095,18
180,1020,34
90,1530,97
240,960,43
240,1410,34
210,810,98
75,1335,155
270,795,121
210,915,25
240,825,65
90,930,110
120,750,37
135,600,96
75,855,101
210,660,68
135,915,59
150,825,23
60,840,39
135,570,34
240,555,27
